subexp,condition,cond_question,cond_answer,num,kid,group,context,request,question,answer,continuation,audio,q_start_ms,q_end_ms,a_start_ms,a_end_ms,total_ms,c_start_ms,audio_nocont,total_ms_nocont
or,or-no-no,no,no,1,Marta,d,"C'erano tre peluche sul letto: un cagnolino, un orsetto e un ranocchio.","Marta, che aveva intenzione di rubare alcuni dei peluche, riceverà una ricompensa se ha rubato il cagnolino o l'orsetto.","Ma quindi Marta ha rubato il cagnolino o l'orsetto, oppure no?","Sì, ha rubato il cagnolino o l'orsetto, ma non ricordo quale.",ma non ricordo quale.,or-no-no-1.mp3,0,3542,4292,8558,8558,7132,or-no-no-1-nocont.mp3,7032
or,or-no-wh,no,wh,1,Marta,c,"C'erano tre peluche sul letto: un cagnolino, un orsetto e un ranocchio.","Marta, che aveva intenzione di rubare alcuni dei peluche, riceverà una ricompensa se ha rubato il cagnolino o l'orsetto.","Ma quindi Marta ha rubato il cagnolino o l'orsetto, oppure no?","Sì, ha rubato il cagnolino o l'orsetto, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-1.mp3,0,3542,4292,8695,8695,7269,or-no-wh-1-nocont.mp3,7169
or,or-wh-no,wh,no,1,Marta,b,"C'erano tre peluche sul letto: un cagnolino, un orsetto e un ranocchio.","Marta, che aveva intenzione di rubare alcuni dei peluche, riceverà una ricompensa se ha rubato il cagnolino.",Ma quindi Marta quali peluche ha rubato?,"Ha rubato il cagnolino o l'orsetto, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-1.mp3,0,2236,2986,6741,6741,5315,or-wh-no-1-nocont.mp3,5215
or,or-wh-wh,wh,wh,1,Marta,a,"C'erano tre peluche sul letto: un cagnolino, un orsetto e un ranocchio.","Marta, che aveva intenzione di rubare alcuni dei peluche, riceverà una ricompensa se ha rubato il cagnolino.",Ma quindi Marta quali peluche ha rubato?,"Ha rubato il cagnolino o l'orsetto, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-1.mp3,0,2236,2986,6878,6878,5452,or-wh-wh-1-nocont.mp3,5352
or,or-no-no,no,no,5,Luna,d,"C'erano tre mobili nella veranda: una sdraio, un tavolino e una cassapanca.","Luna, che aveva intenzione di imbrattare alcuni dei mobili, riceverà una ricompensa se ha imbrattato la sdraio o il tavolino.","Ma quindi Luna ha imbrattato la sdraio o il tavolino, oppure no?","Sì, ha imbrattato la sdraio o il tavolino, ma non ricordo quale.",ma non ricordo quale.,or-no-no-5.mp3,0,3425,4175,8450,8450,7024,or-no-no-5-nocont.mp3,6924
or,or-no-wh,no,wh,5,Luna,c,"C'erano tre mobili nella veranda: una sdraio, un tavolino e una cassapanca.","Luna, che aveva intenzione di imbrattare alcuni dei mobili, riceverà una ricompensa se ha imbrattato la sdraio o il tavolino.","Ma quindi Luna ha imbrattato la sdraio o il tavolino, oppure no?","Sì, ha imbrattato la sdraio o il tavolino, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-5.mp3,0,3425,4175,8433,8433,7007,or-no-wh-5-nocont.mp3,6907
or,or-wh-no,wh,no,5,Luna,b,"C'erano tre mobili nella veranda: una sdraio, un tavolino e una cassapanca.","Luna, che aveva intenzione di imbrattare alcuni dei mobili, riceverà una ricompensa se ha imbrattato la sdraio.",Ma quindi Luna quali mobili ha imbrattato?,"Ha imbrattato la sdraio o il tavolino, ma non ricordo quale.",ma non ricordo quale.,or-wh-no-5.mp3,0,2388,3138,6902,6902,5476,or-wh-no-5-nocont.mp3,5376
or,or-wh-wh,wh,wh,5,Luna,a,"C'erano tre mobili nella veranda: una sdraio, un tavolino e una cassapanca.","Luna, che aveva intenzione di imbrattare alcuni dei mobili, riceverà una ricompensa se ha imbrattato la sdraio.",Ma quindi Luna quali mobili ha imbrattato?,"Ha imbrattato la sdraio o il tavolino, ma non ricordo quale.",ma non ricordo quale.,or-wh-wh-5.mp3,0,2388,3138,6885,6885,5459,or-wh-wh-5-nocont.mp3,5359
or,or-no-no,no,no,6,Pietro,d,"C'erano tre gioielli sul comodino: una collana, un braccialetto e un anello.","Pietro, che aveva intenzione di nascondere alcuni dei gioielli, riceverà una ricompensa se ha nascosto la collana o il braccialetto.","Ma quindi Pietro ha nascosto la collana o il braccialetto, oppure no?","Sì, ha nascosto la collana o il braccialetto, ma non ricordo quale.",ma non ricordo quale.,or-no-no-6.mp3,0,4100,4850,9176,9176,7750,or-no-no-6-nocont.mp3,7650
or,or-no-wh,no,wh,6,Pietro,c,"C'erano tre gioielli sul comodino: una collana, un braccialetto e un anello.","Pietro, che aveva intenzione di nascondere alcuni dei gioielli, riceverà una ricompensa se ha nascosto la collana o il braccialetto.","Ma quindi Pietro ha nascosto la collana o il braccialetto, oppure no?","Sì, ha nascosto la collana o il braccialetto, ma non ricordo quale.",ma non ricordo quale.,or-no-wh-6.mp3,0,4100,4850,9308,9308,7882,or-no-wh-6-nocont.mp3,7782
